,Stock,ML,gain_pred,index_maximo_pred,n_steps_in,n_steps_out,interval,samples_test
247,GOLL4,convLSTM2D,0.0,0,21,5,1d,1
248,GRND3,LSTM,6.857083792234003,0,21,5,1d,1
249,GRND3,BidirectionalLSTM,32.68813479990856,2,21,5,1d,1
250,GRND3,convLSTM1D,0.0,0,21,5,1d,1
251,GRND3,convLSTM2D,0.0,0,21,5,1d,1
252,GUAR3,LSTM,56.26892583383305,4,21,5,1d,1
253,GUAR3,BidirectionalLSTM,123.8570142523709,3,21,5,1d,1
254,GUAR3,convLSTM1D,24.866261696204127,2,21,5,1d,1
255,GUAR3,convLSTM2D,41.53926776442332,4,21,5,1d,1
256,HAPV3,LSTM,0.0,0,21,5,1d,1
257,HAPV3,BidirectionalLSTM,0.0,0,21,5,1d,1
258,HAPV3,convLSTM1D,0.0,0,21,5,1d,1
259,HAPV3,convLSTM2D,0.0,0,21,5,1d,1
260,HGTX3,LSTM,26.10721027465177,0,21,5,1d,1
261,HGTX3,BidirectionalLSTM,1.7761379641165986,0,21,5,1d,1
262,HGTX3,convLSTM1D,0.0,0,21,5,1d,1
263,HGTX3,convLSTM2D,0.0,0,21,5,1d,1
264,HYPE3,LSTM,0.0,0,21,5,1d,1
265,HYPE3,BidirectionalLSTM,16.91743545464769,1,21,5,1d,1
266,HYPE3,convLSTM1D,5.886998748905776,2,21,5,1d,1
267,HYPE3,convLSTM2D,0.0,0,21,5,1d,1
268,IGTA3,LSTM,0.0,0,21,5,1d,1
269,IGTA3,BidirectionalLSTM,76.5229741656302,4,21,5,1d,1
270,IGTA3,convLSTM1D,24.75120133469258,4,21,5,1d,1
271,IGTA3,convLSTM2D,21.002991682712736,3,21,5,1d,1
272,IRBR3,LSTM,158.81495626754318,0,21,5,1d,1
273,IRBR3,BidirectionalLSTM,0.0,0,21,5,1d,1
274,IRBR3,convLSTM1D,69.24687984171292,2,21,5,1d,1
275,IRBR3,convLSTM2D,75.85176562039267,0,21,5,1d,1
276,ITSA3,LSTM,13.393596567288826,0,21,5,1d,1
277,ITSA3,BidirectionalLSTM,0.0,0,21,5,1d,1
278,ITSA3,convLSTM1D,0.0,0,21,5,1d,1
279,ITSA3,convLSTM2D,0.7111152539951933,2,21,5,1d,1
280,ITUB3,LSTM,8.016065442771255,1,21,5,1d,1
281,ITUB3,BidirectionalLSTM,9.801903806234675,0,21,5,1d,1
282,ITUB3,convLSTM1D,0.0,0,21,5,1d,1
283,ITUB3,convLSTM2D,0.0,0,21,5,1d,1
284,JBSS3,LSTM,5.045848657740633,0,21,5,1d,1
285,JBSS3,BidirectionalLSTM,12.976475297448472,1,21,5,1d,1
286,JBSS3,convLSTM1D,0.0,0,21,5,1d,1
287,JBSS3,convLSTM2D,0.0,0,21,5,1d,1
288,JHSF3,LSTM,1.6233466101474425,0,21,5,1d,1
289,JHSF3,BidirectionalLSTM,0.36306998768790577,0,21,5,1d,1
290,JHSF3,convLSTM1D,5.981273182102888,2,21,5,1d,1
291,JHSF3,convLSTM2D,0.0,0,21,5,1d,1
292,KLBN11,LSTM,0.0,0,21,5,1d,1
293,KLBN11,BidirectionalLSTM,0.0,0,21,5,1d,1
294,KLBN11,convLSTM1D,0.0,0,21,5,1d,1
295,KLBN11,convLSTM2D,0.0,0,21,5,1d,1
296,LAME3,LSTM,10.72363291939802,0,21,5,1d,1
297,LAME3,BidirectionalLSTM,41.10563421429557,4,21,5,1d,1
298,LAME3,convLSTM1D,5.709934805142206,3,21,5,1d,1
299,LAME3,convLSTM2D,25.500562314122412,1,21,5,1d,1
300,LEVE3,LSTM,99.91757564428376,1,21,5,1d,1
301,LEVE3,BidirectionalLSTM,93.70281492791524,2,21,5,1d,1
302,LEVE3,convLSTM1D,39.89888640997781,2,21,5,1d,1
303,LEVE3,convLSTM2D,107.1434731778687,3,21,5,1d,1
304,LIGT3,LSTM,0.0,0,21,5,1d,1
305,LIGT3,BidirectionalLSTM,0.0,0,21,5,1d,1
306,LIGT3,convLSTM1D,0.2566275923895353,0,21,5,1d,1
307,LIGT3,convLSTM2D,1.4374545883912642,1,21,5,1d,1
308,LINX3,LSTM,0.0,0,21,5,1d,1
309,LINX3,BidirectionalLSTM,0.0,0,21,5,1d,1
310,LINX3,convLSTM1D,0.0,0,21,5,1d,1
311,LINX3,convLSTM2D,0.0,0,21,5,1d,1
312,LLIS3,LSTM,963.8676184441069,0,21,5,1d,1
313,LLIS3,BidirectionalLSTM,0.0,0,21,5,1d,1
314,LLIS3,convLSTM1D,3505.37617028012,4,21,5,1d,1
315,LLIS3,convLSTM2D,1182.1431142869637,3,21,5,1d,1
316,LOGN3,LSTM,0.0,0,21,5,1d,1
317,LOGN3,BidirectionalLSTM,9.613669608307317,0,21,5,1d,1
318,LOGN3,convLSTM1D,0.34236519744520677,1,21,5,1d,1
319,LOGN3,convLSTM2D,30.083508217482365,4,21,5,1d,1
320,LREN3,LSTM,2.4079738044517787,0,21,5,1d,1
321,LREN3,BidirectionalLSTM,0.0,0,21,5,1d,1
322,LREN3,convLSTM1D,0.7895636323705642,4,21,5,1d,1
323,LREN3,convLSTM2D,10.28580736036511,1,21,5,1d,1
324,LWSA3,LSTM,71.76014103631073,4,21,5,1d,1
325,LWSA3,BidirectionalLSTM,0.0,0,21,5,1d,1
326,LWSA3,convLSTM1D,3.7177658454442803,1,21,5,1d,1
327,LWSA3,convLSTM2D,0.0,0,21,5,1d,1
328,MDIA3,LSTM,24.182173048014437,0,21,5,1d,1
329,MDIA3,BidirectionalLSTM,51.683114710902686,4,21,5,1d,1
